Level 1,Level 2,Description Ecological - general,Description FCC - general,"Description: Texture, shape and pattern - general"
Forest,Mangrove,"Tidally influenced coastal forest ecosystems dominated by halophytic woody species adapted to saline conditions and regular inundation.
Mangroves comprise specialised salt-tolerant tree and shrub communities occurring in tropical and subtropical intertidal zones, characterised by pneumatophores, prop roots, and vivipary. In India, they range from the extensive Sundarbans (dominated by Heritiera and Excoecaria) in the east to smaller patches along the western coast (dominated by Avicennia and Rhizophora), with structural complexity varying from tall closed canopies to stunted shrubby formations based on salinity and tidal amplitude. These ecosystems show minimal seasonal variation in canopy cover but may exhibit phenological changes in flowering and fruiting.
","- In RGB  (4-3-2) composites, mangroves appear dark green to brownish-green.
-  in NIR-R-G (543), they show bright red to crimson due to high chlorophyll content and moisture.
- In SWIR-NIR-R, they appear bright green as strong reflectance is seen in the NIR channel.  
- Seasonal variations are subtle with slightly darker tones during monsoon months due to increased moisture and sediment load in surrounding waters  whilst tidal variations can affect spectral signatures based on water levels during image acquisition.","- Texture: Medium to coarse
- Shape: Varrying
- Pattern: Irregular
"
Forest,Evergreen Forest,"Forests maintaining green foliage throughout the year with less than 25% deciduous species, typically occurring in areas receiving over 2000mm annual rainfall or in temperature-limited high elevation zones. These forests encompass tropical wet evergreens of the Western Ghats and North-East (dominated by Dipterocarpus, Mesua, Hopea), semi-evergreens with 25-75% evergreen species, montane temperate forests (including Quercus, Rhododendron), and coniferous formations (Pinus, Cedrus, Abies) of the Himalayas. They exhibit multi-layered canopy structure with emergents reaching 45-60m in tropical zones, dense understory vegetation including bamboo patches, and high epiphytic loads in humid regions. Whilst maintaining year-round green cover, these forests show subtle phenological patterns in leaf flush, flowering, and fruiting cycles.
","- In RGB, evergreen forests appear deep green to dark green throughout the year
- in NIR-R-G, they show consistent bright red to deep red signatures indicating high photosynthetic activity.
- In SWIR-NIR-R, they display bright green tones and these tones are similar between the Dry and the overall season; there is hardly any change in tone (compared to decidious forest). 
- Seasonal variations are minimal
- In comparison to deciduous forest, the NDVI behaves more stably across the seasons. ","- Texture: Course/rough
- Shape: Varying
- Pattern: Irregular"
Forest,Deciduous Forest,"Forests where more than 75% of canopy trees shed leaves during the dry season, typically occurring in areas with 600-2000mm rainfall and a pronounced dry period of 3-6 months. These include moist deciduous forests dominated by Tectona grandis and Shorea robusta in areas with 1200-2000mm rainfall, dry deciduous forests with Anogeissus and Terminalia species in 600-1200mm zones, and thorn forests transitioning to savanna woodlands in areas below 600mm. They exhibit distinct seasonal rhythms with synchronous leaf fall during dry months (December-May), varying from complete deciduousness in dry zones to partial leaf retention in moister areas, and understory bamboo (Dendrocalamus, Bambusa) that may remain green. Regional patterns include sal forests in central and eastern India showing earlier leaf fall than teak forests of peninsular India.","-  For the bands 543 (NIR-R-G) - bright red during the growing season, dropping to dull brown/grey when leafless.
- In comparison to evergreen, the red tones are more brighter and/or brown red tinged red. 
- For the bands 6-5-4 (SWIR-NIR-R) and 6-5-4Dry there is a difference in colour for decidious versus evergreen forest with dry season defined as the lower 25% percentile of the NDVI. 
- In comparison to evergreen forest, seasonal amplitude in vegetation indices (NDVI varying from 0.2-0.8) is diagnostic for deciduous forests, with peak greenness in September-October and minimum in March-April, varying by latitude and elevation. This can also be seen from the scripts especially the updated version of the Step_02_Collect_and_Export_Samples. 
","- Texture: Medium to coarse
-  Shape: Varrying 
- Pattern: Irregular"
Forest,Other Forest,"Forest areas not clearly classifiable into specific evergreen or deciduous categories, including mixed composition forests, degraded forests, secondary growth, and successional stages. This category encompasses forests with mixed evergreen-deciduous composition (25-75% of either type), secondary forests regenerating after disturbance, degraded forest patches with altered structure and composition, and forest edges showing ecotonal characteristics. These areas often display irregular canopy structure, pioneer species mixed with climax species, variable phenology depending on species mix, and may include exotic plantations reverting to natural forest. They represent transitional states between forest types or successional stages that don't fit neat classification categories.
","- In RGB (4-3-2), mixed forests show intermediate green tones with a patchy appearance.
- In NIR-R-G (5-4-3), they display variable red signatures with spatial heterogeneity reflecting species mix.
- SWIR-NIR-R (6-5-4), they show mottled patterns of bright green tones to pink (degraded forest) based on moisture and leaf characteristics.","- Texture: Medium to coarse
-  Shape: Varrying 
- Pattern: Irregular"
Herbaceous and Shrub Vegetation,Grassland,"Areas dominated by graminoid vegetation with less than 10% tree cover and less than 20% shrub cover, ranging from tropical lowlands to alpine meadows.Indian grasslands include Terai alluvial grasslands with tall grasses (Saccharum, Phragmites) reaching 3-5m height, semi-arid grasslands of the Deccan dominated by Sehima-Dichanthium communities, alpine meadows above treeline with Danthonia, Festuca, and cushion plants, and seasonal grasslands in forest clearings. These ecosystems show strong seasonal patterns tied to monsoon cycles, with peak biomass in the post-monsoon period and senescence during dry months, except alpine meadows showing summer growth patterns. Grass height, density, and species composition vary with moisture gradients, soil types, grazing pressure, and fire regimes.
","- In RGB (432), grasslands appear light green to golden-brown depending on season.
- In NIR-R-G (543), they show moderate red during the growing season, fading to brown in dry periods
- in SWIR-NIR-R (654), they show beige-pink colors. 
- Seasonal NDVI variations are pronounced (0.2-0.6), with rapid greening after monsoon onset and gradual senescence through the dry season
- Burnt areas show distinctive black signatures temporarily
","- Texture: Smooth
- Shape: Irregular
- Pattern: Shattered"
Herbaceous and Shrub Vegetation,Wetlands & Marsh Lands ,"Areas where water is at, near, or above the land surface for sufficient time to support hydrophytic vegetation, including marshes, swamps, and seasonally flooded grasslands. Wetlands comprise permanent marshes with emergent vegetation (Typha, Cyperus), seasonal floodplains with flood-adapted grasses and sedges, freshwater swamps with hydrophytic shrubs and trees, and floating/submerged aquatic vegetation in shallow water bodies. These systems show strong hydroperiod influences, with vegetation composition and structure varying from permanently inundated areas with floating plants to seasonally flooded zones with flood-tolerant terrestrial species. Regional examples include Kashmir wetlands with Phragmites reed beds, Loktak's floating phumdis in Manipur, and extensive Keoladeo-type seasonal wetlands in the Gangetic plains.
","- In RGB (432), wetlands appear dark green to blue-green with water showing through vegetation
- In NIR-R-G (543), they show variable red tones depending on vegetation density, with open water appearing black
- In SWIR-NIR-R (654), wetlands display bright greenish tones. 
- Seasonal variations are dramatic, with monsoon/post-monsoon showing extensive water and lush vegetation signatures, whilst the dry season may show exposed soil or dried vegetation. This temporal variability is key for wetland identification and classification. This should also show in the NDVI plots.","- Texture: Medium to coarse
- Shape: Varrying
- Pattern: Irregular









"
Herbaceous and Shrub Vegetation,Scrubs,"Areas dominated by woody vegetation less than 5m height with multi-stemmed shrubs covering more than 20% but tree cover less than 10%. Scrublands include thorny scrub of arid zones dominated by Prosopis, Acacia, Ziziphus species, degraded forest areas with Lantana and other invasive shrubs, high altitude alpine scrub with Rhododendron, Juniperus above treeline, and coastal scrub on sandy/rocky substrates. These formations typically show drought adaptations, including thorns, reduced leaves, and deep root systems in arid zones, whilst montane scrubs show cushion growth forms and seasonal deciduousness. Scrublands often represent either climax vegetation in moisture-limited or temperature-limited environments, or degradation stages of former forests.","- In RGB (4-3-2), scrubs appear grey-green to brown with sparse texture visible.
- In NIR-R-G (5-4-3), they show dull red to pink tones indicating lower biomass than forests.
- in SWIR-NIR-R (6-5-4), they display bright tones due to exposed soil between shrubs. 
- Seasonal variations depend on scrub type: arid scrubs green briefly after rains, then remain brown, alpine scrubs show summer growth, whilst degraded scrubs may maintain irregular green patches year-round where invasive evergreen species dominate.
","- Texture: Coarse
- Shape: Varrying
- Pattern: Irregular"
Herbaceous and Shrub Vegetation,Rocky vegetation / Rocky outcrops,"Areas where exposed rock surfaces dominate with sparse vegetation (<20% cover) restricted to crevices, ledges, and pockets of accumulated soil.
Rocky outcrops include granite inselbergs of peninsular India with specialised lithophytic communities, limestone karst with unique calcicole flora, high-altitude rocky slopes with cushion plants and crevice-dwelling species, and lateritic plateaus with ephemeral monsoon flora. Vegetation comprises drought-adapted succulents, resurrection plants, endemic herbs appearing during monsoon, and scattered stunted trees in soil pockets. These areas support high endemism due to isolation and extreme conditions, with vegetation showing extreme seasonal variation from bare rock to brief flowering displays.
","- In RGB (432), rocky outcrops appear grey to reddish-brown with scattered green patches.
- In NIR-R-G (543), they show predominantly grey/white rock with (small) red spots of vegetation;
- in SWIR-NIR-R, bright white to yellow/bright green signatures dominate due to high rock reflectance. 
- During the monsoon, temporary greening occurs in crevices and shallow soils, creating a speckled pattern, whilst dry season shows nearly bare rock signatures
- The high contrast between rock and vegetation aids in identification.","Texture: Medium/Rough
Shape: Shape of the rock can be distinguished but irregular shapes
Pattern: Irregular"
Herbaceous and Shrub Vegetation,Other H&S (Ravines and other H&S),"Heterogeneous open natural areas not fitting other herbaceous/shrub categories, including badlands, ravines, and mixed open vegetation mosaics. This category encompasses ravine systems like the Chambal badlands with sparse xerophytic vegetation on eroded slopes, degraded grasslands with irregular shrub invasion, rocky areas with grass-shrub mosaics not qualifying as pure rocky outcrops or scrublands, and disturbed natural areas in early succession. These areas typically show high spatial heterogeneity with bare soil, grass patches, scattered shrubs, and erosion features creating complex patterns. Vegetation cover varies from 20-60% with no single life form dominating, often representing transitional or degraded states between defined vegetation types.
","- In RGB (432), these areas show mottled brown, grey, and pale green patterns. 
- In NIR-R-G (543), they display heterogeneous signatures with pink to grey patches reflecting varied vegetation cover.
- in SWIR-NIR-R, bright soil signatures mix with darker vegetation patches, creating high textural variance. 
- Seasonal changes are irregular and patch-specific, with some areas greening after rains whilst others remain bare
- Erosion features like gullies appear as linear dark features, helping distinguish ravine systems from other mixed vegetation.","Texture: Medium/Rough
Shape: Irregular to some extent linear for ravines
Pattern: Irregular"
Farming & Plantations (cultivated lands), Annual & Seasonal Agricultural Crops,"Agricultural lands under cultivation with herbaceous crops completing their life cycle within one year, including single and multiple cropping systems.
 This includes kharif crops (eg, rice, cotton, maize) grown during monsoon, rabi crops (eg, wheat, mustard, gram) in winter, and zaid crops (eg, watermelon, cucumber) in summer, with cropping intensity varying from single-cropped rainfed areas to triple-cropped irrigated zones. Field patterns range from small, fragmented holdings (<1 ha) in intensively cultivated plains to larger mechanised farms in Punjab-Haryana, with irrigation infrastructure (canals, tubewells) enabling multiple cropping. The agricultural calendar varies regionally: rice-wheat systems dominate the Indo-Gangetic plains, cotton-groundnut in Gujarat, rice-rice in coastal areas, and millet-pulse systems in dryland regions.
","- In RGB, crops vary from bare soil (brown) during ploughing to bright green at peak growth to golden during harvest 
- In NIR-R-G they show dramatic temporal changes from black (water in rice fields) to brilliant red (peak vegetation) to brown (harvest)
- In SWIR-NIR-R signatures cycle from blue (planted/flooded fields) through red (growing crop) to bright yellow (mature crop). 
- Multi-temporal imagery reveals cropping patterns with 2-3 distinct growth cycles annually in irrigated areas versus a single peak in rainfed regions - please see NDVI plots
","- Texture: Smooth
- Shape: Regular shape (fields)
- Pattern: regular - field boundaries and irrigation channels create characteristic geometric patterns distinguishing agriculture from natural vegetation."
